weight,feature
-1.12613,sigmoid( Pstop )
2.22396,U h i
3.0267,U h i r
1.91338,U i r
6.88507,U D ^
0.388251,U ^
0.380675,U k
4.32284,U I t
3.20247,U t
1.93041,U k I t i
0.769704,U t i
0.259327,U m
2.33961,U c
1.24361,U m c r
2.32341,U c r
0.000117946,U g i
4.62174,U s
0.59355,U @ m
1.54787,U m i
3.17833,U w ^ n
1.82934,U ^ n
2.08375,U w ^ n t
1.12334,U W
4.94247,U W t
2.45537,U o
5.82322,U o k e
1.08914,U k e
2.25712,U e
5.33271,U I z
5.87361,U z
2.32059,U w ^ t
3.27465,U g ^ n x
1.37381,U d
4.86308,U d u
2.02298,U o n
5.04064,U n o
4.10312,U i t
4.1861,U I G
0.711173,U d c g
1.31874,U f u d
2.18305,U w ^ z
3.80253,U D @ t
3.98227,U @ t
3.40402,U r ^ n
6.07949,U y u
2.64879,U ^ s
2.98736,U J ^ s t
4.93499,U s t
3.49312,U f c r
0.278257,U r e
3.07595,U m Y
2.52002,U Y
0.349888,U n u
0.655517,U n u t
2.85254,U y R
2.62851,U ^ o
1.96886,U d I d
3.70483,U d W n
0.612102,U a
5.17416,U a n
1.604,U w a n x
4.00264,U s o
2.32762,U D E n
3.43886,U k ^ m
2.63703,U g E t
1.0537,U m a m i
0.885049,U m a n
5.16148,U g o
0.521162,U s E d
0.000593196,U S u
1.92091,U p U t
5.54914,U ^ p
4.37747,U y u r
2.60422,U g U d
1.64138,U g R l
1.32735,U l
0.918237,U l E t
2.24286,U l E t s
1.8014,U w c k
3.48844,U D e
3.10142,U D e r
2.18703,U t e b
1.93849,U b I g
4.19014,U a r
4.65335,U l I t
2.40177,U t x
4.94295,U x l
1.36055,U e k
1.0713,U b u m
1.56179,U W ^ t
0.743617,U h R
1.29817,U h R t
4.80276,U l U k
1.67772,U k @ t
1.06291,U @ n
4.63635,U @ n d
5.64491,U s e
1.37641,U t W l
2.12499,U t c k
4.79799,U x b
4.85003,U c l
0.711037,U E v
0.95922,U v
0.466522,U h E v i
2.22152,U r i
4.02843,U n W
3.09577,U w i
2.77153,U w i r
2.68835,U h @ v
6.11539,U t u
2.16918,U t e k
3.42771,U D I s
1.15685,U I s
1.6936,U s t ^ f
2.39584,U ^ f
1.34582,U s t e r z
4.41557,U s i
3.46762,U h Y
4.21147,U y U r
1.13285,U b e b i
1.89673,U b i
3.00583,U I n
0.185565,U m I r R
1.51484,U w e
1.51544,U w e r
0.852452,U w e r z
1.94683,U x g E n
0.939927,U b E t R
1.10941,U t R
1.8376,U w o
3.42628,U k @ n
1.96031,U k @ n t
3.92553,U Y m
0.751623,U s a r i
3.65027,U p l e
1.23707,U l e
4.66645,U w I D
2.74154,U r u m
0.437914,U b a t
3.61454,U l ^ v
5.09761,U ^ v
2.20867,U w c t R
1.3341,U g a t
3.49419,U r I G
0.52351,U d r I G k
1.33698,U l a t
1.35327,U t x d e
1.04725,U d e
3.17619,U s ^ m
0.885012,U J u s
1.64503,U t O
1.53998,U t O z
1.16435,U p r I t i
1.58579,U u n
1.77162,U t e s t
3.15188,U ^ D R
0.979311,U h @ z
2.21379,U @ z
4.79392,U l Y k
2.18128,U I n J
0.641248,U s R k
2.79417,U h ^
2.01358,U d @ d @
3.86905,U n a t
1.13106,U w E n
0.516033,U w E n t
1.55883,U w R k
1.48831,U b @ k
3.2711,U w I l
1.38526,U f o r
1.4115,U r x
0.47245,U k ^ l R
1.47716,U r E d
0.861245,U y E l o
1.98788,U m I s
0.806396,U b l u
6.47416,U I t s
2.6028,U d o n t
2.11966,U b x
0.426427,U k c z
1.07472,U m o s t
1.4755,U v E r i
1.41543,U w E l
0.548606,U S i
4.42672,U c f
3.31775,U D E m
0.8927,U w Y
3.14646,U o p x n
1.52386,U x n
1.94781,U m W T
2.51762,U T I G
0.799718,U f Y v
1.75593,U T r i
1.15987,U g r i n
1.46325,U i n
0.158502,U b ^ m p
0.58028,U h E d
2.35545,U t I d
2.05087,U s Y d
2.05107,U w o n t
1.33266,U t E n
3.49583,U E n i
0.0903725,U n i
3.61435,U Y l
0.460122,U T R s
0.736468,U h o l
0.299975,U h o l d
1.74114,U o l d
0.715636,U s W n d
2.97995,U r e n
0.0810428,U d i
0.59764,U d i r
1.21434,U p U l
2.22208,U h I m
1.57716,U D o
3.47047,U D o z
2.75485,U a r m
2.26089,U b U k
3.15548,U t Y
1.06097,U t Y r d
1.22526,U r E d i
0.299176,U h @ d
3.14409,U @ p
3.23448,U m o r
3.33264,U t Y m
0.517177,U @ f
2.55873,U t R n
1.48493,U S o
0.364888,U p I G k
0.856645,U r @ b
1.32026,U b I t
1.05183,U w e v
0.448498,U C u
2.06633,U t o
3.39036,U o v R
2.35629,U g I n
0.942464,U n u d
1.94445,U n e m
2.61448,U h i z
