weight,feature
-0.927822,sigmoid( Pstop )
5.05619,U h i
7.02603,U h i r
3.54938,U i r
10.6416,U D ^
2.02357,U ^
8.09805,U I t
4.93066,U k I t i
2.79657,U c
5.48432,U c r
5.52164,U m c r g i
4.2712,U s
4.28938,U m i
6.17167,U w ^ n
5.90124,U w ^ n t
1.41815,U W
5.31921,U W t
3.74003,U o
10.2711,U o k e
3.22971,U e
7.77473,U I z
6.44052,U z
5.49476,U w ^ t
5.39127,U w ^ t s
7.71248,U g ^ n x
6.95619,U d u
6.97642,U n o
6.64244,U i t
7.65933,U I G
2.91724,U d c g
2.8081,U f u d
3.94117,U w ^ z
7.95657,U D @ t
4.74749,U @ t
4.58523,U z e
4.28427,U r ^ n
9.48938,U y u
4.59542,U s I t
3.47552,U ^ s
6.5491,U J ^ s t
6.43009,U f c r
4.33278,U m Y
2.10247,U Y
0.330498,U n u
4.03255,U e m Y n u t
1.54876,U o k i d o k i
3.87521,U y R
6.45196,U ^ o
4.38693,U d I d
5.56202,U d W n
1.86532,U a
7.24534,U a n
6.0264,U w a n x
7.69943,U D @ t s
4.61239,U s o
5.35216,U D E n
5.85474,U k ^ m
1.95576,U ^ m
6.10426,U g E t
3.24556,U m a m
6.08895,U m a m i
5.47972,U k ^ m a n
7.37317,U g o
1.4153,U s E d
1.05589,U S
2.04503,U S u
4.7424,U p U t
7.80279,U ^ p
7.91316,U y u r
4.08059,U s ^ C e
4.69383,U g U d
5.73484,U g R l
3.15384,U l E t
5.4938,U l E t s
3.24073,U w c k
4.75554,U D e
6.77501,U D e r
4.77395,U b I g
6.24346,U a r
3.52145,U y u l
7.194,U l I t x l
0.885586,U x l
1.25149,U b u
6.23994,U W ^ t C x
1.24164,U h R
2.65932,U h R t
5.15313,U l U k
5.15676,U l U k @ t
1.83519,U k @ t
4.97325,U s t @ n d
8.19633,U @ n d
7.2414,U s e
3.88399,U t c k
7.29101,U x b W t
4.27938,U c l
1.70696,U h E v i
6.24362,U n W
5.97774,U w i
4.58721,U w i r
5.08033,U h @ v
8.02463,U t u
5.40092,U t e k
6.74695,U D I s
2.44343,U s t ^ f
4.42733,U s t e
0.0524194,U s t e r z
4.72213,U s i
4.79391,U h Y
7.49079,U y U r
2.44976,U b e b
5.93795,U b e b i
3.42135,U b i
5.20816,U I n
1.76303,U m I r R
3.27874,U w e
4.41429,U w e r
3.8337,U w e r z
4.27561,U D e r z
6.15415,U x g E n
5.28938,U E v r i
2.80034,U b E t R
2.51118,U w o
3.95001,U m a m i z
7.05168,U k @ n
5.50278,U k @ n t
4.36552,U Y m
1.10086,U Y m s a r i
7.34358,U p l e
7.55627,U w I D
1.94953,U r u m
2.91518,U b a t x l
3.19592,U l ^ v
6.04207,U ^ v
4.2373,U w c t R
4.56929,U g a t
6.75868,U g a t x
2.61602,U r I G
3.37251,U d r I G k
4.4786,U t x d e
0.0901048,U d e
5.94159,U s ^ m
3.70674,U J u s
2.00424,U l e t R
2.24012,U t O
2.45807,U t O z
3.74135,U p r I t i
1.03407,U r @ k u n
2.0542,U t e s t
1.60156,U t e s t i
6.20396,U ^ D R
1.84747,U h @ z
5.90167,U l Y k
3.33482,U I n J
1.85127,U s R k x l
4.83721,U h ^
4.22691,U d @ d @
6.52777,U n a t
4.18977,U w E n
3.0563,U w E n t
0.154674,U w R
1.89101,U w R k
4.91899,U b @ k
4.13904,U w I l
1.53053,U f o r
3.43095,U r E d
2.10313,U y E l o
1.6809,U b l u
9.04927,U I t s
2.11124,U m I s t R
5.6708,U Y d o n t
6.55571,U d o n t
5.49405,U b x k c z
3.48819,U c l m o s t
4.57427,U v E r i
4.69509,U w E l
1.58106,U S i
0.0771442,U k c l
6.23865,U c f
6.35154,U D E m
2.8953,U w Y
5.32507,U o p x n
5.25184,U m W T
0.458343,U p ^ t
6.5313,U T I G
1.46446,U f Y v
4.2766,U T r i
3.2162,U g r i n
2.53167,U b i t
1.00742,U h E d
5.02955,U I n t
0.511903,U t I d
3.75922,U s Y d
3.3651,U w o n t
2.39767,U t E n
5.54182,U E n i
6.431,U W t ^ v
3.53957,U Y l
2.16465,U T R s t i
1.35995,U h o l
2.14718,U h o l d
0.0982333,U p e
1.89095,U s W n d
0.217218,U O G k O G k
2.22106,U r e n
3.07932,U p U l
4.87973,U h I m
0.00638898,U p U r
2.43635,U D o
4.42017,U D o z
4.86523,U a r m
4.38371,U b U k
1.97024,U b U k s
4.19727,U t Y
2.47438,U t Y r d
4.16473,U r E d i
1.3241,U h @ d
4.64129,U m o r
1.54683,U m o r n
5.26075,U t Y m
2.61379,U @ f t R
5.09244,U t R n
2.17542,U S o
1.22338,U p I G k
1.01073,U r @ b
2.68783,U b I t
1.42495,U E v R
2.44345,U w e v
2.5873,U C u
0.0205015,U k c r d
0.243184,U t o
7.61214,U o v R
4.01109,U m o r g I n
0.899741,U n e
1.62925,U n e m
3.77327,U h i z
3.77859,U f r ^ m
2.63134,U m u v
2.22702,U b ^ t
3.88921,U w a C
0.394397,U y E t
3.13488,U h u
2.49041,U h u z
4.10049,U y E s
3.71613,U s I l i
4.0531,U d o r
6.00741,U I f
2.59466,U w c S
3.43529,U d c g i
4.59355,U w i l
3.1294,U h E l o
2.81804,U f ^ n
2.60979,U f ^ n i
0.0546255,U f I n I S
0.162332,U f I n I S t
1.124,U S U d
3.26193,U k a r
1.57768,U n ^ m b R
1.52902,U w U d
4.33367,U b c l
1.71337,U f l o r
2.53009,U d @ d i
2.80269,U f i l
2.7198,U y ^ m i
3.93918,U E n d
4.21215,U T @ G k
2.58588,U d r Y
5.64312,U r Y t
2.10435,U t e b x l
5.82894,U n i d
2.3401,U o n l i
1.68173,U b E d
1.94874,U p e p R
0.947411,U t a p
0.46186,U l W d
0.191652,U k o s t R
2.44005,U b Y
4.59221,U h W
2.17548,U l I d
2.41586,U m i t
3.11864,U s t I l
3.67582,U r o l
6.68931,U t r Y
1.00142,U w W
1.11062,U k e r
2.80033,U d ^ z
0.682257,U s t a r
2.55453,U n Y n
2.70859,U h e
2.54626,U m ^ s t
1.02053,U s I k s
0.773193,U s n @ p
1.1193,U s k w e r
1.2856,U w u p s
2.2162,U u p s
2.90791,U x r W n d
1.78627,U r W n d
5.05901,U ^ n d R
3.64748,U k W
1.08816,U k W C
1.08677,U W C
3.25188,U n ^ T
1.68445,U r c G
3.29849,U h e r
1.10092,U s l i p
1.05745,U p I k
1.79313,U k ^ p
6.86234,U E l m o
4.94751,U l E m i
0.602077,U g e t
0.331046,U b l E s
1.30435,U b @ s k
2.79572,U w I n d o
1.37243,U b W n s
7.18149,U Y n o
0.00143401,U s w i t
1.10566,U s w i t i
3.57962,U a r n t
0.536974,U y a
3.63123,U Y g a t
1.41617,U k o l d
5.63383,U n Y s
0.980601,U S S S
0.379375,U h @ d e
3.94566,U m e k
5.41896,U T r o
0.308939,U b r E k f x s t
1.52469,U l ^ n C
0.987021,U w e r d
2.73667,U b Y t
2.33708,U t E l
1.08709,U n E v R
2.11059,U b x f o r
4.37521,U d Y p R
0.0340625,U C e n J
0.837413,U C e n J d
3.65286,U m e b i
1.71262,U w E t
1.74878,U J ^ m p
3.22556,U r E s t
3.68005,U p @ n t s
1.77144,U s k e r d
8.04289,U x w e
6.08652,U b Y b Y
0.720396,U b Y k
3.33093,U k e m
1.53284,U w Y p
0.244239,U l u z
3.10038,U f c l
3.66508,U c l r Y t
1.2315,U b @ d
0.534028,U d r E s t
3.86354,U k r Y
2.73126,U m ^ C
1.41316,U C i z
1.84872,U k I k
0.809841,U l E g z
3.49761,U l e d W n
6.26294,U x n ^ D R
0.441798,U s E k x n d
2.3223,U x n t I l
3.29947,U l E f t
1.24696,U k r x f o n
1.14956,U x m
5.50385,U I n ^ f
5.74991,U r i x l i
2.89938,U y ^ m y ^ m
0.429278,U x p s t e r z
2.49658,U b I b
4.70122,U n o p
1.15171,U w I C
1.19165,U l c n d r i
1.99346,U p ^ p i
3.21642,U t E d i
2.20015,U b ^ n i
3.02136,U C e r
1.29347,U w Y l
2.36298,U f i d
3.26143,U d ^ z x n t
1.88757,U k @ r
1.54558,U l i v
2.0214,U p u
4.21205,U s p u n
0.772333,U v E J t x b x l
3.46849,U C I k I n
1.80815,U r Y s
3.84102,U T I G k
0.945334,U s m E l
3.59999,U d I d x n t
0.815341,U p I k C R
0.683618,U m @ k x r o n i
1.68013,U t r i
4.44831,U s E l f
2.13354,U f R s t
0.98275,U h Y d
2.35852,U h ^ G g r i
0.488854,U d r a p t
2.60334,U m E s
2.56798,U c l g c n
0.625641,U g c n
3.64425,U k U k i
1.02441,U f ^ s
2.86642,U b x n @ n x
1.26736,U k i z
0.611652,U b o T
0.277425,U f r ^ n t
3.24636,U h @ n d
3.18891,U h x m
3.14132,U h @ n d z
3.09233,U k l i n
0.425202,U h a r d
0.37485,U S R t
3.8473,U f i t
3.18926,U h W s
2.93983,U y e
5.75117,U Y s i
0.69994,U s k r @ C
2.27472,U C E k
0.254195,U f Y n
2.70771,U f Y n d
4.71813,U g I v
2.33053,U f W n d
2.16847,U l Y t
3.73158,U D i z
3.94615,U k l @ p
0.890202,U k ^ t
5.05397,U b O
3.93332,U m @ n
2.1559,U k @ C
0.497082,U k Y n d
2.4847,U h I t
2.18977,U r i C
0.390837,U h ^ g
4.31831,U h I z
0.444371,U S i p
1.40731,U f I t
3.71306,U T r u
