weight,feature
-0.507448,sigmoid( Pstop )
3.0075,U h i
7.88505,U h i r
7.79444,U D ^
1.97962,U ^
8.08113,U I t
4.33714,U D ^ k I t i
5.89911,U k I t i
2.6518,U c
4.22142,U c r
5.57578,U m c r g i
2.74307,U m i
7.08617,U w ^ n
7.3867,U w ^ n t
1.50047,U W
4.30341,U W t
3.0309,U o
11.1784,U o k e
0.228924,U e
5.58907,U I z
7.97364,U w ^ t
7.30345,U w ^ t s
8.82003,U g ^ n x
6.32121,U d u
0.0497369,U u
6.09456,U n o
7.38493,U n o n o
6.10086,U i t
5.07339,U I G
0.755231,U d c g
3.98914,U w ^ z
10.5403,U D @ t
9.86119,U y u
3.44582,U s I t
8.36963,U J ^ s t
6.34322,U f c r
0.824439,U Y
4.94426,U e m Y n u t
5.08344,U o k i d o k i
4.13916,U y R
6.66541,U ^ o
6.41031,U d I d
4.55372,U s I t d W n
5.84266,U d W n
1.78708,U a
3.44152,U a n
8.14912,U w a n x
9.21248,U D @ t s
3.17206,U s o
3.73339,U D E n
5.93319,U k ^ m
2.87917,U ^ m
6.3558,U k ^ m h i r
8.54646,U g E t
3.44653,U m a m
7.83124,U m a m i
6.89711,U k ^ m a n
6.54049,U g o
6.4508,U I z D @ t
0.774464,U s E d
1.71891,U S
6.27491,U p U t
5.01628,U ^ p
9.63982,U y u r
4.13132,U g U d
2.91851,U g U d g R l
4.19736,U l E t
8.21503,U l E t s
2.59255,U w c k
4.11392,U D e
8.3928,U D e r
2.09821,U b I g
5.39522,U a r
8.52574,U l I t x l
1.06491,U b u
0.745958,U b u m
8.08294,U W ^ t C x
7.39746,U d u I G
1.89073,U h R t
9.65277,U a r y u
6.65656,U l U k
6.06532,U l U k @ t
4.16356,U s t @ n d
11.4115,U @ n d
1.49687,U s t @ n d I G
5.76628,U s e
1.76911,U t c k
2.72998,U t c k I G
7.87282,U x b W t
2.46904,U c l
1.27164,U h E v i
0.49472,U l I t x l g R l
5.86793,U n W
5.08297,U w i
4.9107,U w i r
6.11338,U w i r g ^ n x
6.75677,U h @ v
7.02383,U h @ v t u
6.90674,U t u
5.09649,U t e k
8.27421,U D I s
4.65832,U s t ^ f
2.2486,U d W n s t e r z
4.36761,U d u y u s i
4.51714,U s i
5.65145,U s e h Y
3.08823,U h Y
8.05303,U y U r
3.26525,U b e b
6.64777,U b e b i
1.3388,U b i
4.36221,U I n
1.14034,U I n D ^ m I r R
1.82385,U w e
6.03576,U w e r
5.93709,U w e r z
5.66271,U D e r z
7.89027,U x g E n
3.45516,U E v r i w e r
3.43409,U b E t R
2.75964,U w o
