weight,feature
-0.90594,sigmoid( Pstop )
4.75997,U h i
6.81346,U h i r
2.43621,U i r
10.7733,U D ^
2.01358,U ^
7.86964,U I t
4.85556,U k I t i
2.90911,U c
5.36614,U c r
3.26832,U m c r g i
4.54328,U s
1.22402,U @ m
4.18958,U m i
5.99718,U w ^ n
5.72378,U w ^ n t
1.53131,U W
4.45555,U W t
3.89283,U o
10.188,U o k e
3.39659,U e
7.63055,U I z
5.47038,U w ^ t
5.81865,U w ^ t s
7.72984,U g ^ n x
6.98757,U d u
6.66542,U n o
6.58459,U i t
7.33111,U I G
2.34302,U d c g
2.82132,U f u d
3.88139,U w ^ z
7.93779,U D @ t
3.94837,U @ t
4.35061,U z e
4.26867,U r ^ n
9.3924,U y u
4.65054,U s I t
3.25676,U ^ s
6.49106,U J ^ s t
6.41588,U f c r
4.33132,U m Y
2.2627,U Y
0.302881,U n u
3.16393,U e m Y n u t
1.06226,U o k i d o k i
3.96471,U y R
5.42382,U ^ o
4.46188,U d I d
6.66055,U d W n
1.95275,U a
6.97111,U a n
5.95573,U w a n x
7.66107,U D @ t s
4.64976,U s o
5.21476,U D E n
5.46812,U k ^ m
1.60995,U ^ m
6.15015,U g E t
2.70905,U m a m
5.62528,U m a m i
5.20359,U k ^ m a n
6.96476,U g o
1.48945,U s E d
1.33571,U S
1.95093,U S u
5.02375,U p U t
7.60467,U ^ p
7.7394,U y u r
2.7291,U s ^ C e
4.0107,U g U d
4.20529,U g R l
3.3666,U l E t
5.63116,U l E t s
3.2817,U w c k
4.7437,U D e
6.6944,U D e r
4.77173,U b I g
5.99918,U a r
3.41496,U y u l
6.41185,U l I t x l
0.86821,U x l
1.19207,U b u
5.88392,U W ^ t C x
1.20297,U h R
2.69849,U h R t
5.27181,U l U k
4.9646,U l U k @ t
1.90458,U k @ t
5.48386,U s t @ n d
8.41051,U @ n d
7.19499,U s e
3.96398,U t c k
7.06527,U x b W t
4.01327,U c l
1.42134,U h E v i
6.17018,U n W
5.86683,U w i
4.70781,U w i r
5.02404,U h @ v
8.12477,U t u
5.42381,U t e k
6.80677,U D I s
2.30771,U s t ^ f
2.53,U ^ f
4.41027,U s t e
0.0151756,U s t e r z
4.77633,U s i
4.75266,U h Y
7.34025,U y U r
2.25329,U b e b
5.53879,U b e b i
3.21281,U b i
5.14011,U I n
1.83244,U m I r R
3.07342,U w e
