weight,feature
-0.499156,sigmoid( Pstop )
2.99705,U h i
7.80402,U h i r
7.844,U D ^
2.02983,U ^
8.08984,U I t
4.37695,U D ^ k I t i
5.89637,U k I t i
2.68764,U c
4.25328,U c r
5.60786,U m c r g i
2.69659,U m i
7.09782,U w ^ n
7.32581,U w ^ n t
1.4504,U W
4.27059,U W t
2.8786,U o
11.1039,U o k e
0.2659,U e
5.61392,U I z
7.99183,U w ^ t
7.3179,U w ^ t s
8.77693,U g ^ n x
6.46298,U d u
0.0983604,U u
5.24843,U o n o
6.09288,U n o
6.29299,U n o n o
6.23571,U i t
5.01618,U I G
0.813148,U d c g
4.02706,U w ^ z
10.7838,U D @ t
9.77486,U y u
3.34739,U s I t
8.33604,U J ^ s t
6.38778,U f c r
0.824353,U Y
4.88686,U e m Y n u t
3.83875,U o k i d o k i
4.1507,U y R
6.38155,U ^ o
6.44769,U d I d
4.4722,U s I t d W n
5.81001,U d W n
1.77478,U a
3.49383,U a n
8.25966,U w a n x
9.46364,U D @ t s
3.18362,U s o
3.64623,U D E n
5.79035,U k ^ m
2.87966,U ^ m
6.76089,U k ^ m h i r
8.52461,U g E t
3.31348,U m a m
7.88609,U m a m i
6.71284,U k ^ m a n
6.03829,U g o
6.50159,U I z D @ t
0.742651,U s E d
1.8555,U S
6.28304,U p U t
5.01767,U ^ p
9.60479,U y u r
4.11171,U g U d
2.90246,U g U d g R l
4.19205,U l E t
8.20777,U l E t s
2.58802,U w c k
3.90483,U D e
7.59085,U D e r
4.46091,U D e r y u g o
2.13675,U b I g
5.31125,U a r
8.52871,U l I t x l
1.0687,U b u
0.668444,U b u m
8.30254,U W ^ t C x
7.53873,U d u I G
1.90613,U h R t
9.72194,U a r y u
6.67647,U l U k
6.09253,U l U k @ t
4.07557,U s t @ n d
11.2868,U @ n d
1.66721,U s t @ n d I G
5.64705,U s e
1.82286,U t c k
2.74671,U t c k I G
7.63098,U x b W t
2.47911,U c l
1.2697,U h E v i
0.502043,U l I t x l g R l
6.15799,U n W
5.05368,U w i
4.81867,U w i r
6.06011,U w i r g ^ n x
6.72883,U h @ v
5.31891,U h @ v t u
6.86445,U t u
5.10074,U t e k
8.31615,U D I s
4.64512,U s t ^ f
2.42929,U d W n s t e r z
5.15781,U d u y u s i
4.5438,U s i
5.01733,U s e h Y
3.00745,U h Y
8.10852,U y U r
3.17504,U b e b
6.64,U b e b i
1.30615,U b i
4.04368,U I n
1.26499,U I n D ^ m I r R
1.83615,U w e
6.10908,U w e r
5.84162,U w e r z
5.46597,U D e r z
7.67104,U x g E n
3.47186,U E v r i w e r
3.41313,U b E t R
2.57506,U w o
5.24358,U m a m i z
9.16666,U k @ n
6.9345,U k @ n t
2.23967,U Y m
1.46907,U Y m s a r i
0.182133,U s a r i
6.34913,U p l e
6.76295,U p l e w I D
5.52226,U w I D
2.28462,U m c r g i z
4.13295,U b a t x l
2.45266,U l ^ v
4.78792,U w c t R
5.89653,U g a t
8.49385,U g a t x
4.01002,U d r I G k
2.1861,U l a t s ^ v
4.43165,U t x d e
5.53582,U s ^ m
2.52112,U s ^ m J u s
2.40567,U J u s
4.2289,U p r I t i
3.05731,U t e s t
1.40051,U t e s t i
1.52365,U h @ z
6.51744,U l Y k
6.08877,U e l I t x l
