weight,feature
-1.113,sigmoid( Pstop )
3.16758,U h i
4.08047,U h i r
2.16182,U i r
8.14405,U D ^
0.503777,U ^
0.49198,U k
5.0942,U I t
3.44981,U t
2.57566,U k I t i
0.917898,U t i
0.229021,U m
2.45779,U c
2.83529,U c r
1.45221,U m c r g i
4.70047,U s
0.780858,U @ m
2.49956,U m i
4.19053,U w ^ n
2.58345,U w ^ n t
1.20447,U W
5.9243,U W t
2.93374,U o
6.95866,U o k e
1.45958,U k e
2.66446,U e
6.03023,U I z
5.93322,U z
3.40843,U w ^ t
3.35847,U g ^ n x
1.37077,U d
5.68569,U d u
2.21011,U o n
5.81292,U n o
4.84802,U i t
5.08649,U I G
0.838301,U d c g
2.29244,U f u d
3.10061,U w ^ z
4.59127,U D @ t
4.12286,U @ t
3.65108,U r ^ n
7.7529,U y u
2.65506,U ^ s
3.02873,U J ^ s t
4.61858,U s t
3.95788,U f c r
4.07707,U m Y
2.78695,U Y
0.594144,U n u
0.795081,U n u t
0.0476644,U k i
4.10383,U y R
4.31055,U ^ o
3.05931,U d I d
4.46433,U d W n
0.816606,U a
6.09601,U a n
1.98927,U w a n x
4.38799,U s o
2.60394,U D E n
4.31127,U k ^ m
0.237965,U ^ m
4.4148,U g E t
0.0942517,U m a m
2.20813,U m a m i
2.02131,U m a n
6.48328,U g o
0.842866,U s E d
0.64737,U S u
2.53673,U p U t
6.48272,U ^ p
5.06926,U y u r
3.49531,U g U d
3.13466,U g R l
1.56355,U l
1.1167,U l E t
2.73158,U l E t s
2.4323,U w c k
3.82651,U D e
4.06605,U D e r
0.0993669,U e r
3.36547,U t e b
2.33319,U b I g
4.79296,U a r
5.35156,U l I t
5.10837,U x l
1.57348,U e k
0.35908,U b u
1.21268,U b u m
1.52874,U W ^ t
0.254661,U C x
0.897041,U h R
1.49564,U h R t
5.95028,U l U k
1.95128,U k @ t
1.07864,U @ n
4.76166,U @ n d
6.2724,U s e
2.4254,U t W l
3.16682,U t c k
4.92249,U x b
5.72868,U c l
1.06735,U E v
1.11308,U v
0.854101,U h E v i
2.82092,U r i
5.1132,U n W
4.08374,U w i
3.17258,U w i r
2.56543,U h @ v
6.73808,U t u
3.91665,U t e k
4.54124,U D I s
1.4171,U I s
1.76014,U s t ^ f
2.44347,U ^ f
1.39421,U s t e r z
4.67561,U s i
4.15611,U h Y
4.96658,U y U r
2.13486,U b e b i
2.64481,U b i
3.92722,U I n
0.172329,U m I r R
2.43769,U w e
2.19495,U w e r
1.28298,U w e r z
3.36486,U x g E n
0.0472446,U l o
1.42651,U b E t R
1.74906,U t R
2.64385,U w o
4.55094,U k @ n
1.85899,U k @ n t
4.21561,U Y m
0.903017,U s a r i
4.08614,U p l e
1.81658,U l e
5.26795,U w I D
2.90022,U r u m
0.70654,U b a t
3.78502,U l ^ v
6.02287,U ^ v
2.67745,U w c t R
1.81622,U g a t
4.07874,U r I G
0.602809,U d r I G k
