weight,feature
-0.930614,sigmoid( Pstop )
5.04854,U h i
7.02614,U h i r
3.97805,U i r
10.6957,U D ^
1.10793,U ^
7.96834,U I t
4.95967,U k I t i
2.04252,U c
5.49164,U c r
5.4893,U m c r g i
4.12004,U s
4.10904,U m i
6.1298,U w ^ n
5.77105,U w ^ n t
0.532682,U W
4.71759,U W t
2.98077,U o
10.2125,U o k e
2.31337,U e
7.80614,U I z
6.15672,U z
5.47555,U w ^ t
5.81894,U w ^ t s
7.48123,U g ^ n x
6.98859,U d u
6.80297,U n o
7.03171,U i t
7.51856,U I G
2.96007,U d c g
2.80627,U f u d
3.91719,U w ^ z
7.88638,U D @ t
4.68227,U @ t
4.48238,U z e
4.40452,U r ^ n
9.47626,U y u
4.51913,U s I t
3.47139,U ^ s
6.47943,U J ^ s t
6.30159,U f c r
4.19449,U m Y
1.22165,U Y
0.10714,U n u
3.20952,U e m Y n u t
0.999412,U o k i d o k i
3.7577,U y R
6.67175,U ^ o
4.40102,U d I d
6.60845,U d W n
0.95817,U a
7.26499,U a n
5.90834,U w a n x
7.70985,U D @ t s
4.7396,U s o
5.2428,U D E n
5.78886,U k ^ m
1.98694,U ^ m
6.04538,U g E t
3.14144,U m a m
5.96316,U m a m i
4.83634,U k ^ m a n
7.46023,U g o
1.42869,U s E d
0.872535,U S
2.02143,U S u
4.53712,U p U t
7.784,U ^ p
7.87725,U y u r
2.02621,U s ^ C e
3.81623,U g U d
5.7132,U g R l
3.09445,U l E t
5.52579,U l E t s
3.26855,U w c k
4.68857,U D e
6.64454,U D e r
4.93022,U b I g
6.21263,U a r
3.46138,U y u l
7.0248,U l I t x l
0.531165,U x l
1.25159,U b u
6.41634,U W ^ t C x
1.2181,U h R
2.6371,U h R t
5.24622,U l U k
5.37313,U l U k @ t
1.79355,U k @ t
4.73963,U s t @ n d
8.11931,U @ n d
7.17531,U s e
3.92575,U t c k
6.9809,U x b W t
4.17558,U c l
1.18889,U h E v i
6.02748,U n W
5.91336,U w i
4.37765,U w i r
4.83626,U h @ v
8.06902,U t u
5.36546,U t e k
6.70024,U D I s
2.41702,U s t ^ f
4.39641,U s t e
0.00359293,U s t e r z
4.64886,U s i
4.79997,U h Y
7.34852,U y U r
2.60681,U b e b
5.87878,U b e b i
3.2761,U b i
5.01682,U I n
1.5786,U m I r R
3.19985,U w e
4.2528,U w e r
3.71503,U w e r z
4.21491,U D e r z
6.00262,U x g E n
5.29746,U E v r i
2.84344,U b E t R
2.22846,U w o
3.88519,U m a m i z
6.97656,U k @ n
5.35155,U k @ n t
4.41193,U Y m
1.71639,U Y m s a r i
6.92732,U p l e
2.55575,U l e
7.46904,U w I D
1.80323,U r u m
2.7467,U b a t x l
3.03346,U l ^ v
6.07704,U ^ v
4.27468,U w c t R
4.92953,U g a t
2.80466,U r I G
2.14073,U d r I G k
3.5435,U t x d e
0.0110003,U d e
5.96501,U s ^ m
3.25423,U J u s
2.76594,U l e t R
2.11238,U t O
2.44001,U t O z
3.74802,U p r I t i
3.69547,U r @ k u n
1.84523,U t e s t
1.36093,U t e s t i
6.6226,U ^ D R
1.85336,U h @ z
5.91397,U l Y k
3.83505,U I n J
2.10055,U s R k x l
4.78628,U h ^
4.20266,U d @ d @
6.49561,U n a t
4.15843,U w E n
2.9743,U w E n t
0.126328,U w R
1.79979,U w R k
4.91253,U b @ k
4.12455,U w I l
1.55058,U f o r
3.41996,U r E d
2.07051,U y E l o
1.75666,U b l u
8.93133,U I t s
2.09511,U m I s t R
5.44078,U Y d o n t
6.07545,U d o n t
5.70877,U b x k c z
2.79629,U c l m o s t
4.54666,U v E r i
4.26833,U w E l
1.62775,U S i
0.0474873,U k c l
5.97391,U c f
6.24035,U D E m
2.90651,U w Y
5.26637,U o p x n
5.24244,U m W T
0.301153,U p ^ t
6.41685,U T I G
2.45101,U f Y v
4.28211,U T r i
2.99152,U g r i n
1.91043,U i n
2.4639,U b i t
0.910152,U h E d
5.09537,U I n t
0.52083,U t I d
2.29741,U s Y d
3.2463,U w o n t
2.385,U t E n
5.47652,U E n i
6.0484,U W t ^ v
3.4852,U Y l
1.53456,U T R s t i
1.3386,U h o l
2.10553,U h o l d
0.0822576,U p e
1.64702,U s W n d
2.30478,U r e n
2.14656,U p U l
4.86107,U h I m
0.183164,U p U r
2.53987,U D o
4.35504,U D o z
4.74481,U a r m
4.3893,U b U k
1.97953,U b U k s
4.20181,U t Y
2.49812,U t Y r d
4.13147,U r E d i
1.30761,U h @ d
4.57056,U m o r
1.80935,U m o r n
5.3021,U t Y m
4.49525,U @ f t R
5.01436,U t R n
2.26248,U S o
1.20051,U p I G k
0.973428,U r @ b
2.68722,U b I t
1.57383,U E v R
2.09355,U w e v
1.57079,U C u
0.0980048,U k c r d
3.16545,U t o
7.56799,U o v R
4.4249,U m o r g I n
0.555158,U n e
1.3667,U n e m
3.7542,U h i z
3.75241,U f r ^ m
2.43563,U m u v
2.21466,U b ^ t
2.1045,U w a C
0.350594,U y E t
3.19605,U h u
2.48864,U h u z
4.30624,U y E s
0.148278,U b a k s
0.968418,U g r @ m a
3.6828,U s I l i
4.13575,U d o r
6.03805,U I f
2.56,U w c S
3.48384,U d c g i
4.51042,U w i l
2.98121,U h E l o
2.83019,U f ^ n
2.62519,U f ^ n i
0.206038,U f I n I S t
1.01287,U S U d
3.2781,U k a r
1.27656,U n ^ m b R
1.42627,U w U d
3.98941,U W t s Y d
3.99545,U b c l
1.02819,U f l o r
2.52124,U d @ d i
2.60736,U f i l
2.78791,U y ^ m i
4.02612,U E n d
3.20114,U T @ G k
2.61746,U d r Y
5.63297,U r Y t
2.17218,U t e b x l
5.86494,U n i d
3.47954,U o n l i
1.70337,U b E d
1.28301,U p e p R
0.809476,U t a p
0.716802,U l W d
0.893819,U k o s t R
2.40012,U b Y
4.59513,U h W
2.26168,U l I d
2.27081,U m i t
3.2802,U s t I l
3.63185,U r o l
6.65352,U t r Y
1.03557,U w W
1.02563,U k e r
2.74345,U d ^ z
0.821259,U s t a r
0.847743,U n Y n
2.66597,U h e
2.96602,U m ^ s t
0.776641,U s E v I n
0.916107,U s I k s
0.653576,U s n @ p
1.01289,U s k w e r
1.10995,U w u p s
2.32376,U u p s
0.39365,U @ G g x l
2.74808,U x r W n d
1.30637,U r W n d
5.28316,U ^ n d R
3.68096,U k W
1.08177,U k W C
0.87209,U W C
3.09167,U n ^ T
1.70682,U r c G
3.30114,U h e r
0.887868,U s l i p
0.992056,U p I k
1.76764,U k ^ p
6.1216,U E l m o
4.93939,U l E m i
0.53638,U g e t
0.26889,U b l E s
0.72974,U b @ s k
1.56919,U w I n d
1.12187,U b W n s
7.18641,U Y n o
0.00112475,U s w i t
1.1077,U s w i t i
3.4417,U a r n t
0.479132,U y a
3.68492,U Y g a t
1.49276,U k o l d
5.67106,U n Y s
1.07951,U S S S
3.86932,U m e k
5.41381,U T r o
0.582183,U b r E k f x s t
1.75921,U l ^ n C
1.24,U w e r d
2.73536,U b Y t
2.37907,U t E l
1.12062,U n E v R
