weight,feature
-0.495687,sigmoid( Pstop )
2.87265,U h i
7.8195,U h i r
7.70734,U D ^
2.10501,U ^
8.11315,U I t
4.36782,U D ^ k I t i
5.87273,U k I t i
2.70867,U c
4.42406,U c r
5.55458,U m c r g i
2.69511,U m i
7.08457,U w ^ n
7.22268,U w ^ n t
1.63374,U W
4.37778,U W t
2.95601,U o
11.1216,U o k e
0.276947,U e
5.67273,U I z
7.97628,U w ^ t
7.30901,U w ^ t s
8.67827,U g ^ n x
6.22064,U d u
0.151948,U u
5.10887,U o n o
6.09977,U n o
6.18246,U n o n o
5.44763,U i t
5.63634,U i t I G
0.769738,U d c g
3.9671,U w ^ z
10.8093,U D @ t
9.49999,U y u
3.07135,U s I t
8.16598,U J ^ s t
6.39294,U f c r
0.78486,U Y
4.81222,U e m Y n u t
2.77279,U o k i d o k i
3.93322,U y R
6.67587,U ^ o
6.3652,U d I d
4.4332,U s I t d W n
5.82065,U d W n
1.77657,U a
3.42635,U a n
8.24593,U w a n x
9.52694,U D @ t s
3.08241,U s o
3.63664,U D E n
5.52457,U k ^ m
2.94552,U ^ m
6.44529,U k ^ m h i r
8.47188,U g E t
3.44193,U m a m
7.46748,U m a m i
6.57925,U k ^ m a n
6.41809,U g o
6.45535,U I z D @ t
0.629163,U s E d
1.78426,U S
6.26594,U p U t
5.02864,U ^ p
9.39572,U y u r
4.10913,U g U d
2.93037,U g U d g R l
3.92618,U l E t
8.19061,U l E t s
2.38597,U w c k
4.11968,U D e
8.3902,U D e r
5.46292,U a r
8.45531,U l I t x l
0.997497,U b u
0.687993,U b u m
8.31073,U W ^ t C x
7.17731,U d u I G
1.9367,U h R t
9.66978,U a r y u
6.50722,U l U k
6.00004,U l U k @ t
3.58497,U s t @ n d
11.3282,U @ n d
1.65788,U s t @ n d I G
5.54947,U s e
0.17133,U s e I G
1.71124,U t c k
2.22274,U t c k I G
7.28963,U x b W t
2.60342,U c l
1.20411,U h E v i
0.455163,U l I t x l g R l
5.89215,U n W
5.02724,U w i
4.81362,U w i r
6.05192,U w i r g ^ n x
6.54882,U h @ v
5.13406,U h @ v t u
6.76988,U t u
4.95196,U t e k
8.33138,U D I s
4.67075,U s t ^ f
2.00566,U d W n s t e r z
4.12492,U d u y u s i
4.44297,U s i
5.52086,U s e h Y
2.99515,U h Y
8.00091,U y U r
3.24275,U b e b
6.60118,U b e b i
0.942286,U b i
4.4574,U I n
1.17356,U I n D ^ m I r R
1.7833,U w e
6.06313,U w e r
5.79248,U w e r z
5.66282,U D e r z
8.35195,U x g E n
3.55635,U E v r i w e r
3.41217,U b E t R
2.66143,U w o
5.26274,U m a m i z
9.19896,U k @ n
6.96991,U k @ n t
2.35822,U Y m
1.70542,U Y m s a r i
0.285137,U s a r i
6.23394,U p l e
6.72203,U p l e w I D
5.53578,U w I D
2.33536,U m c r g i z
4.14718,U b a t x l
2.36112,U l ^ v
4.70937,U w c t R
5.6503,U g a t
8.2345,U g a t x
3.95398,U d r I G k
2.22272,U l a t s ^ v
4.74929,U t x d e
5.43806,U s ^ m
2.46457,U s ^ m J u s
2.47995,U J u s
3.23415e-06,U t O
4.21037,U p r I t i
2.83449,U t e s t
1.2381,U t e s t i
6.56305,U l Y k
5.86495,U e l I t x l
2.14731,U s R k x l
3.74461,U h ^
5.74127,U d @ d @
6.73024,U n a t
4.08628,U w E n
5.08895,U b @ k
3.36372,U w I l
2.15874,U f o r
3.56263,U r E d
1.69074,U s I G
0.0447348,U y E l o s R k x l
9.97126,U I t s
2.73407,U m I s t R
0.393966,U g o z
