weight,feature
-1.11765,sigmoid( Pstop )
2.89039,U h i
4.29313,U h i r
2.17938,U i r
8.08338,U D ^
0.450355,U ^
4.8278,U I t
3.36078,U t
1.81897,U k I t i
0.89514,U t i
0.24119,U m
2.48044,U c
1.80421,U m c r
2.61442,U c r
0.277365,U g i
4.77646,U s
0.591378,U @ m
2.24937,U m i
4.38004,U w ^ n
1.86911,U ^ n
2.43022,U w ^ n t
1.1838,U W
5.91278,U W t
2.78193,U o
6.82134,U o k e
1.42251,U k e
2.58434,U e
5.89933,U I z
6.01948,U z
3.46777,U w ^ t
2.89463,U g ^ n x
1.41571,U d
5.51376,U d u
2.11737,U o n
5.69983,U n o
4.82759,U i t
4.91636,U I G
0.671843,U d c g
1.99608,U f u d
3.00707,U w ^ z
4.41475,U D @ t
4.12687,U @ t
3.48146,U r ^ n
7.64219,U y u
2.67923,U ^ s
3.73701,U J ^ s t
4.5957,U s t
4.00497,U f c r
3.66164,U m Y
2.62459,U Y
1.22086,U n u
1.36838,U m Y n u t
4.08967,U y R
4.24026,U ^ o
3.00501,U d I d
4.55943,U d W n
0.763752,U a
5.89979,U a n
1.9587,U w a n x
4.30276,U s o
3.56209,U D E n
4.37057,U k ^ m
4.23771,U g E t
2.19531,U m a m i
1.34858,U m a n
6.36386,U g o
0.686545,U s E d
0.487289,U S u
2.55776,U p U t
6.49895,U ^ p
5.06845,U y u r
3.52722,U g U d
3.58063,U g R l
1.56182,U l
1.0931,U l E t
2.76054,U l E t s
2.45875,U w c k
3.73277,U D e
4.30488,U D e r
0.0186934,U e r
3.76495,U t e b
0.000460561,U b
2.76592,U b I g
4.58231,U a r
5.31703,U l I t
4.90784,U x l
0.254614,U b u
1.87076,U b u m
1.90781,U W ^ t
0.132689,U C x
0.814055,U h R
1.20119,U h R t
5.88356,U l U k
2.0191,U k @ t
0.975212,U @ n
5.18585,U @ n d
6.21195,U s e
2.38012,U t W l
3.1865,U t c k
4.89361,U x b
5.55559,U c l
0.948993,U E v
1.11215,U v
0.424722,U h E v i
2.46566,U r i
5.13646,U n W
3.79954,U w i
3.8974,U w i r
2.41635,U h @ v
6.50617,U t u
3.76116,U t e k
4.63519,U D I s
1.3194,U I s
2.41427,U s t ^ f
2.46608,U ^ f
1.2962,U s t e r z
4.56964,U s i
4.04295,U h Y
5.14527,U y U r
2.02692,U b e b i
2.38732,U b i
3.60531,U I n
0.257096,U m I r R
2.21505,U w e
2.26731,U w e r
1.83119,U w e r z
2.20401,U x g E n
0.939284,U b E t R
1.49729,U t R
2.61386,U w o
4.64655,U k @ n
2.2677,U k @ n t
3.99534,U Y m
1.2383,U s a r i
3.89862,U p l e
1.61729,U l e
5.50534,U w I D
2.97142,U r u m
0.696325,U b a t
3.95569,U l ^ v
6.02812,U ^ v
2.56324,U w c t R
1.52507,U g a t
3.95071,U r I G
0.770162,U d r I G k
2.01132,U l a t
1.69554,U t x d e
1.53003,U d e
4.57453,U s ^ m
1.34376,U J u s
3.67981,U t O
2.07637,U t O z
1.2419,U p r I t i
0.574122,U r @ k u n
2.88319,U t e s t
3.78425,U ^ D R
1.46287,U h @ z
2.30773,U @ z
4.80756,U l Y k
2.45914,U I n J
0.667656,U s R k
3.506,U h ^
1.69729,U d @ d @
4.87228,U n a t
2.82009,U w E n
0.81882,U w E n t
2.03356,U w R k
2.34178,U b @ k
3.28686,U w I l
1.92412,U f o r
0.374461,U k ^ l R
1.63955,U r E d
0.892544,U y E l o
2.4895,U m I s
0.990495,U b l u
6.75944,U I t s
0.00135579,U u p
3.3362,U d o n t
2.805,U b x
0.482073,U k c z
1.01138,U m o s t
1.89761,U v E r i
1.74471,U w E l
0.857255,U S i
5.21228,U c f
3.78679,U D E m
0.205405,U E m
