weight,feature
-1.11038,sigmoid( Pstop )
3.27925,U h i
4.3662,U h i r
2.18091,U i r
8.35362,U D ^
0.534608,U ^
5.01469,U I t
3.36516,U t
2.6316,U k I t i
1.06261,U t i
0.270629,U m
2.52727,U c
3.22266,U c r
1.46548,U m c r g i
4.75918,U s
0.948731,U @ m
2.56513,U m i
4.7525,U w ^ n
3.08394,U w ^ n t
1.23838,U W
6.02346,U W t
2.90346,U o
7.13375,U o k e
1.43969,U k e
2.67128,U e
6.03986,U I z
6.06047,U z
3.55516,U w ^ t
3.25054,U g ^ n x
1.42939,U d
5.74976,U d u
2.38869,U o n
5.46295,U n o
4.79534,U i t
5.3948,U I G
0.636355,U d c g
2.52627,U f u d
3.59915,U w ^ z
5.04514,U D @ t
4.1378,U @ t
3.61839,U r ^ n
7.96505,U y u
2.59682,U ^ s
4.33961,U J ^ s t
4.6891,U s t
4.15071,U f c r
3.95361,U m Y
2.70132,U Y
0.448742,U n u
0.945589,U n u t
4.37216,U y R
4.57727,U ^ o
3.73708,U d I d
4.57909,U d W n
0.882758,U a
6.38059,U a n
2.17726,U w a n x
4.43345,U s o
3.82346,U D E n
4.76486,U k ^ m
0.492413,U ^ m
4.39113,U g E t
0.234472,U m a m
2.84195,U m a m i
1.58087,U m a n
6.536,U g o
0.772466,U s E d
0.891293,U S u
2.65183,U p U t
6.44859,U ^ p
5.13546,U y u r
3.72183,U g U d
3.24197,U g R l
1.59917,U l
1.07157,U l E t
3.0713,U l E t s
2.48963,U w c k
3.88481,U D e
4.39084,U D e r
2.25769,U t e b
2.80367,U b I g
4.68241,U a r
5.32144,U l I t
5.06106,U x l
1.3654,U e k
0.469858,U b u
1.72241,U b u m
1.87497,U W ^ t
0.242792,U C x
0.948993,U h R
1.64661,U h R t
6.02495,U l U k
1.97483,U k @ t
5.24586,U t @
1.21174,U @ n
4.68765,U @ n d
6.36436,U s e
1.82223,U t W l
3.24923,U t c k
4.92186,U x b
5.96508,U c l
0.883172,U E v
1.12562,U v
1.10325,U h E v i
2.60127,U r i
5.16734,U n W
4.33771,U w i
3.97452,U w i r
2.66593,U h @ v
6.89496,U t u
4.28794,U t e k
5.19589,U D I s
1.32991,U I s
2.01335,U s t ^ f
2.36548,U ^ f
1.74575,U s t e r z
4.77473,U s i
4.16579,U h Y
5.4589,U y U r
2.30909,U b e b i
2.77234,U b i
4.15519,U I n
0.318952,U m I r R
2.47771,U w e
2.49559,U w e r
1.48012,U w e r z
3.35802,U x g E n
0.122717,U l o
1.5409,U b E t R
1.67123,U t R
2.81816,U w o
4.9148,U k @ n
2.28713,U k @ n t
4.34165,U Y m
1.33305,U s a r i
4.43808,U p l e
1.48343,U l e
5.4796,U w I D
2.78154,U r u m
0.695861,U b a t
3.92777,U l ^ v
5.97052,U ^ v
2.44455,U w c t R
1.60034,U g a t
4.07594,U r I G
0.675977,U d r I G k
0.0291589,U l a
2.01186,U l a t
1.87145,U t x d e
1.83414,U d e
4.82502,U s ^ m
1.32914,U J u s
1.39236,U l e t R
2.05248,U e f
2.28606,U t O
2.85624,U t O z
1.19087,U p r I t i
1.87009,U r @ k u n
1.34941,U t e s t
4.44111,U ^ D R
1.4525,U h @ z
2.28998,U @ z
4.80655,U l Y k
3.27994,U I n J
0.689017,U s R k
3.8535,U h ^
1.51378,U d @ d @
5.28756,U n a t
2.78367,U w E n
1.03099,U w E n t
2.02112,U w R k
2.31672,U b @ k
3.39579,U w I l
2.12463,U f o r
2.03678,U r x
0.35761,U k ^ l R
1.74763,U r E d
1.02669,U y E l o
2.46573,U m I s
0.983838,U b l u
7.18129,U I t s
0.0752264,U u p
3.64397,U d o n t
3.14957,U b x
0.360132,U k c z
0.930615,U m o s t
2.52095,U v E r i
1.73249,U w E l
0.980776,U S i
5.14837,U c f
4.20974,U D E m
1.78702,U w Y
3.78245,U o p x n
2.17146,U x n
3.18386,U m W T
3.73032,U T I G
1.22191,U f Y v
1.88169,U T r i
1.79392,U g r i n
2.07542,U i n
0.402747,U b ^ m p
0.705474,U h E d
2.4007,U t I d
1.85004,U s Y d
2.83828,U w o n t
1.67233,U t E n
4.52441,U E n i
0.461891,U n i
4.61274,U Y l
0.276794,U T R s
0.517406,U h o l
0.734234,U h o l d
1.10289,U o l d
1.53313,U s W n d
2.90642,U r e n
0.75202,U d i
0.710177,U d i r
1.82333,U p U l
3.18772,U h I m
2.12043,U D o
3.71988,U D o z
3.55293,U a r m
2.98042,U b U k
3.41223,U t Y
1.09232,U t Y r d
1.40331,U r E d i
3.19738,U @ p
4.43276,U m o r
4.04309,U t Y m
4.1173,U t R n
1.93736,U S o
0.523652,U p I G k
1.12986,U r @ b
0.867607,U b I t
1.81669,U w e v
0.918745,U C u
2.43513,U t o
4.60144,U o v R
4.30147,U g I n
0.799466,U n u d
2.2446,U n e m
3.6455,U h i z
0.978943,U f r ^ m
2.51854,U m u v
0.300883,U b ^ t
3.13688,U x n t
1.70921,U w a C
2.56498,U h u
1.66752,U h u z
1.32153,U y E s
1.65316,U b a k s
0.709731,U g r @ m a
2.14449,U s I l i
1.42565,U l i
2.77741,U d o r
4.19054,U I f
2.35968,U w c S
0.97196,U d c g i
2.54723,U w i l
2.48492,U f o n
0.856822,U h E l o
1.74719,U f ^ n
2.28109,U f ^ n i
1.14716,U f I n I S
0.268078,U S U d
1.02097,U h @ G
3.07101,U k a r
0.353586,U n ^ m b R
0.0855819,U w U d
2.33885,U i v
2.34649,U b c l
0.423708,U f l o r
1.43748,U d @ d i
1.97312,U f i l
0.907445,U y ^ m
0.726802,U y ^ m i
3.36399,U E n d
2.07246,U T @ G k
1.06029,U d r Y
5.7785,U r Y t
4.77217,U n i d
0.517183,U b E d
0.909756,U p e p R
0.225488,U d r ^ m
1.10418,U g r o
1.50029,U r I k
2.04648,U l W d
4.67528,U x l i
0.77945,U b Y
4.48492,U h W
1.53575,U l I d
1.99833,U D @ n
3.4041,U s t I l
3.39352,U r o l
4.96913,U t r Y
0.881976,U w W
1.63978,U k e r
2.29261,U d ^ z
2.21545,U n Y n
2.53409,U h e
1.67276,U m ^ s t
0.293934,U d a
0.0960021,U s n @ p
0.897017,U w u p s
2.91959,U u p s
2.22488,U @ G g
0.836879,U x r W n d
0.585242,U r W n d
1.58883,U ^ n d R
3.14224,U k W
0.333354,U k W C
