weight,feature
-0.908852,sigmoid( Pstop )
4.7306,U h i
6.81433,U h i r
2.25385,U i r
10.8369,U D ^
1.92731,U ^
7.8685,U I t
4.80022,U k I t i
2.95356,U c
5.35319,U c r
3.38975,U m c r g i
4.61929,U s
4.13281,U m i
5.88746,U w ^ n
5.61288,U w ^ n t
1.45313,U W
4.50319,U W t
3.80442,U o
10.1249,U o k e
3.32708,U e
7.66895,U I z
5.27263,U w ^ t
5.28598,U w ^ t s
7.40835,U g ^ n x
6.81469,U d u
2.48546,U o n
6.55522,U n o
6.53833,U i t
7.30878,U I G
2.36909,U d c g
2.85213,U f u d
3.72706,U w ^ z
7.83316,U D @ t
4.00493,U @ t
4.26611,U z e
4.23802,U r ^ n
9.20674,U y u
4.57111,U s I t
3.27263,U ^ s
6.54261,U J ^ s t
6.38522,U f c r
4.23435,U m Y
2.04469,U Y
0.603652,U n u
3.10544,U e m Y n u t
1.74029,U o k i d o k i
3.92173,U y R
6.30101,U ^ o
4.46581,U d I d
6.6554,U d W n
1.86115,U a
6.98576,U a n
5.63589,U w a n x
7.50081,U D @ t s
4.63586,U s o
5.15303,U D E n
5.50021,U k ^ m
1.64065,U ^ m
6.08333,U g E t
2.70837,U m a m
5.5719,U m a m i
4.96182,U k ^ m a n
6.81222,U g o
1.46525,U s E d
1.39905,U S
1.8988,U S u
4.8806,U p U t
7.57957,U ^ p
7.27869,U y u r
3.05416,U s ^ C e
3.89428,U g U d
4.16099,U g R l
3.10284,U l E t
5.42211,U l E t s
3.1927,U w c k
4.65076,U D e
6.56648,U D e r
5.03702,U b I g
5.96438,U a r
3.31303,U y u l
6.66116,U l I t x l
1.77753,U x l
1.04025,U b u
0.965234,U b u m
6.1164,U W ^ t C x
1.15551,U h R
2.62829,U h R t
5.1369,U l U k
5.27279,U l U k @ t
1.88432,U k @ t
5.73137,U s t @ n d
8.36697,U @ n d
7.08982,U s e
4.07976e-08,U t W l
3.90835,U t c k
7.53766,U x b W t
4.0788,U c l
1.76993,U h E v i
6.09224,U n W
5.69844,U w i
4.53074,U w i r
4.97475,U h @ v
7.99408,U t u
5.39838,U t e k
6.71652,U D I s
2.40703,U s t ^ f
2.58513,U ^ f
4.41051,U s t e
4.7639e-06,U s t e r z
4.69436,U s i
4.67159,U h Y
7.30219,U y U r
2.20046,U b e b
5.49525,U b e b i
3.17296,U b i
5.32632,U I n
1.7378,U m I r R
2.94842,U w e
3.98138,U w e r
3.58894,U w e r z
4.72431,U D e r z
5.65266,U x g E n
4.61476,U E v r i
2.8621,U b E t R
2.41512,U w o
4.11219,U m a m i z
6.91226,U k @ n
5.41596,U k @ n t
4.16802,U Y m
1.06441,U Y m s a r i
6.96555,U p l e
2.63993,U l e
7.82421,U w I D
1.33881,U m c r g i z
1.86028,U r u m
2.67015,U b a t x l
1.97302,U l ^ v
5.87096,U ^ v
4.22542,U w c t R
4.50976,U g a t
5.12932,U g a t x
1.81271,U r I G
3.24237,U d r I G k
4.11837,U t x d e
5.85417,U s ^ m
2.44016,U J u s
1.90631,U l e t R
1.96151,U t O
2.17924,U t O z
3.83017,U p r I t i
2.66651,U r @ k u n
1.8133,U t e s t
1.29903,U t e s t i
6.49803,U ^ D R
1.51074,U h @ z
5.94305,U l Y k
4.12141,U I n J
0.392256,U s R k x l
4.75845,U h ^
4.118,U d @ d @
6.49401,U n a t
4.10714,U w E n
3.05708,U w E n t
0.132767,U w R
1.93613,U w R k
5.01913,U b @ k
4.18211,U w I l
1.53948,U f o r
3.34398,U r E d
2.00344,U y E l o
2.02829,U b l u
8.93498,U I t s
1.98251,U m I s t R
2.95743,U g o z
6.08477,U Y d o n t
6.42901,U d o n t
5.24933,U b x k c z
2.42751,U c l m o s t
4.4039,U v E r i
4.74964,U w E l
1.39973,U S i
0.0448843,U k c l
5.71164,U c f
6.20322,U D E m
2.78971,U w Y
5.32076,U o p x n
4.99043,U m W T
0.538793,U p ^ t
5.61297,U T I G
2.29075,U f Y v
4.23408,U T r i
3.06978,U g r i n
1.32921,U i n
2.37575,U b i t
0.944933,U h E d
5.43365,U I n t
0.440885,U t I d
2.46137,U s Y d
3.22484,U w o n t
2.31813,U t E n
5.59171,U E n i
6.16429,U W t ^ v
3.41584,U Y l
1.65934,U T R s t i
1.31339,U h o l
2.09891,U h o l d
0.0502621,U p e
0.369003,U s W n d
5.90146,U I G @ t
2.25257,U r e n
3.08461,U p U l
4.86704,U h I m
0.126343,U p U r
2.25467,U D o
3.64763,U D o z
3.16136,U a r m
4.37255,U b U k
1.92381,U b U k s
3.99433,U t Y
2.18301,U t Y r d
4.12816,U r E d i
1.30582,U h @ d
4.56092,U m o r
1.33546,U m o r n
4.9389,U t Y m
3.16718,U @ f t R
4.98427,U t R n
2.21293,U S o
1.31631,U p I G k
0.990807,U r @ b
2.68507,U b I t
1.24984,U E v R
2.20348,U w e v
2.50057,U C u
3.2416,U t o
7.72801,U o v R
0.178526,U d c l
2.59953,U m o r g I n
0.898186,U n e
1.61782,U n e m
3.03224,U h i z
3.69951,U f r ^ m
2.61373,U m u v
2.19708,U b ^ t
3.85115,U w a C
0.237969,U y E t
3.07351,U h u
2.2443,U h u z
4.07167,U y E s
0.00305236,U b a k s
0.667064,U g r @ m a
3.64553,U s I l i
2.29427,U d o r
5.92356,U I f
2.82612,U w c S
2.23622,U d c g i
3.89953,U w i l
3.21584,U h E l o
2.70856,U f ^ n
2.50599,U f ^ n i
0.000135167,U f I n I S
0.127924,U f I n I S t
1.1296,U S U d
3.09691,U k a r
0.00431674,U n ^ m b R
1.51361,U w U d
3.7419,U W t s Y d
4.09331,U b c l
0.528876,U b c l z
0.809283,U f l o r
2.13513,U d @ d i
1.81143,U f i l
2.90513,U y ^ m i
4.22062,U E n d
4.58913,U T @ G k
2.55179,U d r Y
5.66739,U r Y t
1.83779,U t e b x l
4.30072,U n i d
3.74312,U o n l i
1.65318,U b E d
1.41219,U p e p R
0.804349,U t a p
0.413832,U l W d
2.45109,U b Y
4.53416,U h W
2.2283,U l I d
2.44565,U s e m
2.28348,U m i t
0.0733069,U n i d z
3.39813,U s t I l
3.47606,U r o l
6.68103,U t r Y
1.04469,U w W
1.08079,U k e r
2.52229,U d ^ z
0.824452,U s t a r
0.332179,U n Y n
2.61272,U h e
3.07999,U m ^ s t
2.25459,U s E v
0.985442,U s I k s
0.577958,U s n @ p
0.752273,U s k w e r
1.11597,U w u p s
2.4396,U u p s
0.219306,U @ G g x l
2.99999,U x r W n d
1.85729,U r W n d
4.61449,U ^ n d R
3.35893,U k W
0.585777,U k W C
0.570882,U W C
2.1768,U n ^ T
1.61568,U r c G
3.2635,U h e r
0.775278,U s l i p
0.828348,U p I k
1.71786,U k ^ p
5.96607,U E l m o
5.10733,U l E m i
0.577875,U g e t
0.195107,U b l E s
0.456955,U d @ d i z
0.899006,U b @ s k
1.94381,U w I n d o
0.815303,U b W n s
7.24947,U Y n o
0.0995736,U s w i t
1.17516,U s w i t i
3.51868,U a r n t
0.487806,U y a
3.82938,U Y g a t
1.88186,U k o l d
5.68659,U n Y s
0.890719,U S S S
0.434505,U h @ d e
3.90955,U m e k
4.66402,U T r o
0.367445,U b r E k f x s t
3.23911,U n o z
1.47462,U l ^ n C
0.851332,U w e r d
2.76646,U b Y t
2.45095,U t E l
1.112,U n E v R
2.0984,U b x f o r
3.11442,U d Y p R
0.633768,U C e n J d
3.08793,U m e b i
1.75316,U w E t
1.76063,U J ^ m p
2.79083,U r E s t
3.15334,U p @ n t s
0.617555,U s k e r d
8.12181,U x w e
4.9654,U b Y b Y
1.15047,U b Y k
3.26063,U k e m
2.02743,U w Y p
2.40245,U f c l
3.39365,U c l r Y t
1.29156,U b @ d
0.605253,U d r E s t
3.8371,U k r Y
2.72941,U m ^ C
0.595749,U C i z
1.49256,U k I k
0.706587,U l E g z
5.78126,U x n ^ D R
0.123223,U s E k x n d
1.96054,U x n t I l
2.82047,U l E f t
0.701239,U k r x f o n
0.844305,U x m
3.1384,U h i r z
5.90573,U r i x l i
1.87482,U y ^ m y ^ m
0.442668,U x p s t e r z
1.16494,U b I b
0.453199,U f ^ z i
4.43462,U n o p
0.87096,U w I C
2.1955,U l c n d r i
1.20278,U p ^ p i
2.90991,U t E d i
1.86272,U b ^ n i
2.70013,U C e r
1.23963,U w Y l
2.42067,U f i d
2.84969,U d ^ z x n t
0.651029,U k @ r
0.516331,U l i v
2.31328,U p u
3.3629,U s p u n
0.279762,U C I k
1.73044,U r Y s
3.21131,U T I G k
3.31815,U b e b i z
0.890655,U s m E l
3.42632,U d I d x n t
0.55185,U p I k C R
0.744653,U m @ k x r o n i
1.45124,U t r i
3.54966,U s E l f
1.41273,U f R s t
0.982959,U h Y d
3.26056,U T I G z
1.45763,U h ^ G g r i
0.632118,U d r a p t
2.33117,U m E s
2.31555,U c l g c n
0.534418,U g c n
2.61126,U k U k i
1.17201,U f ^ s
0.336259,U b x n @ n x
0.354098,U k i z
0.711878,U b o T
0.318066,U f r ^ n t
3.12157,U h @ n d
3.00337,U h x m
2.48785,U h @ n d z
3.13925,U k l i n
0.497802,U h a r d
0.362757,U S R t
3.80401,U f i t
3.11701,U h W s
2.54957,U y e
5.46202,U Y s i
0.608853,U s k r @ C
2.23703,U C E k
2.62852,U f Y n d
4.51655,U g I v
1.85216,U f W n d
2.02126,U l Y t
0.489807,U y u z
3.11688,U D i z
4.12247,U k l @ p
0.694884,U k ^ t
2.19747,U b O
3.95201,U m @ n
2.3854,U k @ C
0.646864,U k Y n d
2.52689,U h I t
2.13262,U r i C
0.638278,U h ^ g
4.32696,U h I z
0.430759,U S i p
1.58335,U f I t
3.87297,U T r u
1.75489,U n O z
2.04236,U k l W n
3.63132,U p i k x b u
3.63256,U ^ h ^
0.683306,U z I p R
1.71999,U k l Y m
2.62026,U Y T I G k
1.18864,U m E k s
1.42514,U t w E n t i
1.72887,U S ^ t
2.41846,U t I k x l
0.757877,U @ k C u x l i
1.63164,U s a k
3.84161,U k i p
1.26591,U f @ s t
0.205806,U m E s i
2.31039,U t e l
0.283466,U p r a b x b l i
3.11771,U f U t
2.32142,U y u v
3.52979,U p i s
0.021817,U t i S R t
0.904985,U s a k s
3.78784,U Y l ^ v
0.762557,U h a t
2.34813,U k I s
1.93769,U k l o s
3.75049,U f e s
0.104574,U l i v z
3.3804,U S e k
5.02786,U i v x n
3.19684,U k r c l
2.84623,U k y u t
0.351226,U p I l o
3.85156,U h E l p
1.43018,U s t ^ k
0.0361646,U b @ T
2.68625,U p U S
1.15635,U J E n t x l
3.48059,U s r c G
2.31927,U d @ n s
2.00483,U s ^ n
4.81117,U d ^ n
1.95894,U w c k R
1.74679,U b @ g
0.728591,U b o l
3.2372,U s I r i x l
1.76275,U @ p x l
1.14028,U s k w a S
2.90442,U s c s
1.24706,U w c r m
3.00597,U k ^ m z
1.45077,U d a l i
3.74394,U t x g E D R
0.520791,U S u z
0.437189,U n E k s t
0.277683,U g o l d
1.35193,U f I S
1.98551,U E k s k y u s
2.04471,U S U r
2.66283,U w e t
4.64834,U Y h @ v
3.35559,U l @ f
0.631012,U s l o
0.1915,U b r I J
3.44919,U p i p x l
0.892199,U h @ t
0.714387,U w i n
0.442219,U k ^ p x l
0.596141,U r Y d
0.0888261,U p e r z
2.38075,U s x p o z d
1.67081,U k U d
2.4217,U p i C I z
0.308487,U b r E d
3.20569,U m I l k
5.171,U m a m x
1.47307,U l Y n
0.656215,U s w i t h a r t
3.43769,U Y h o p
2.01892,U p r E s
0.00677635,U g r o s I r i z
0.160479,U s m Y l
1.36962,U b ^ d i
7.18267,U E l s
1.98022,U x t E n S
0.952102,U y E p
1.91141,U t I m
1.86274,U k W n t
0.344735,U f I G g R
0.221323,U Y z
0.371923,U k w I k
1.51773,U b x h Y n d
1.47799,U s E z
3.57388,U f E l
1.12917,U r x m E m b R
1.44842,U b @ T r u m
0.287876,U b @ T t ^ b
2.64178,U k l o D z
3.01008,U b e r
1.68033,U s w i t i p Y
0.145536,U n a k t
2.19193,U d R t i
1.90141,U h ^ n i
1.08972,U m @ n d i
2.52726,U p l i z
1.54075,U m a n s t R
0.207388,U s c G
1.01748,U s p Y d R
1.4325,U s p W t
0.668101,U w c S t
1.04104,U g a d
1.0765,U t ^ C
1.77601,U p u p i
2.91421,U g l @ s
2.63669,U m a m a m a
1.86551,U s t o r i
0.455026,U f e v x r
1.03495,U b l @ G k
0.19756,U w i l z
1.23939,U b ^ s
0.593743,U b x l u g x
1.41792,U b r W n
0.851955,U b R d
3.46128,U p e J
0.0534805,U d ^ k
0.169368,U f r c g
0.0036162,U b l @ k S i p
0.608885,U b y u t I f x l
2.88189,U s p I n
0.178394,U t W n
0.0368191,U s w I S
0.1891,U b ^ m p I t i
1.52092,U l a l a l a
0.775607,U h @ p i
0.214857,U a r m z
0.0282665,U t ^ m i
1.18811,U s t I k
1.67016,U t ^ G
0.74687,U m a m x z
1.15327,U x m h x m
0.0257568,U f Y t
0.554766,U k l i n d
0.305359,U m I r @ n d x
2.08603,U m i n
2.78575,U t i T
2.91905,U m y u z I k
0.0638749,U b u t i
1.06218,U r I G z
1.64033,U J a b
0.977398,U t I g R
0.0780598,U s k u l
0.894496,U g o x h E d
0.389703,U b l I G k
1.04385,U E l x f I n t
0.524985,U I g n o r
0.0432053,U f I k s
2.0232,U r u s t R
1.65918,U k e r f x l
2.06435,U r i l
1.7241,U m Y t
1.55276,U s l i p i
1.40813,U b ^ b x l z
0.58468,U b l o
0.502255,U b Y b Y z
0.180311,U @ n I m x l z
1.0142,U m E d I s
2.29655,U m e d
0.202775,U b W n s i
2.52564,U m @ t R
1.2338,U p I g i
0.646926,U h c r s i
0.0715097,U g U d n I s
2.98253,U p I n C
1.50653,U x m k e
1.68452,U g r e t
2.62124,U d I l x n
0.0464894,U f I G g R z
1.66433,U k Y n d x
0.419855,U w R l d
3.16975,U s p I t
3.24353,U g I m i
1.50636,U Y T c t
0.267957,U h @ G a n
0.383041,U b R p
0.998085,U b ^ t x n
1.6461,U l R n
2.36364,U s t a p
0.685394,U k r I s m x s
3.98578,U g U d b O
0.935893,U l I f t
0.0769144,U Y g E s
0.409144,U b r e k
0.180938,U t r i z
1.93851,U l @ s t
1.22595,U r @ t x l
2.4479,U l e d i
0.0942614,U p a r t
1.36732,U w Y r
2.05811,U x p a r t
0.754253,U b r U k l I n
0.846205,U r I n s
1.46041,U Y @ m
1.229,U m i n z
0.765925,U m @ d @ t
0.149414,U k l o s R
1.84072,U b a b x
1.00603,U y a r d
1.28821,U v @ k y u m
1.32395,U t i v i
0.664947,U l c r d
1.99841,U C @ n s
2.77086,U r x m o t
0.324925,U b ^ t R f l Y
0.693533,U y ^ k i
0.611654,U t R d e
0.221229,U s w i t p i
0.0352382,U w U p s i
0.351979,U k r e z i
5.30937e-05,U b u b u
1.15624,U @ l I g z
3.65804,U @ n d R
0.517409,U b u b u n
1.87123,U b o n i n
1.46168,U p E g
0.130545,U d I z i
0.401788,U u p s i
0.177674,U s k w R x l i
1.82231,U m e l
0.037852,U t O l
0.956428,U p @ t i k e k
1.23937,U m a r k
0.422867,U m u m u S x z
0.0554288,U J e l x n
0.83749,U p @ m p R
2.37899,U J i z x s
2.90044,U @ l I n
0.110423,U x r Y z
0.443836,U J e k x b
1.4303,U t S I @ r I @ U
1.13496,U t Y r i s
0.23877,U s t e d h o m
3.42014,U p o k i m
0.746177,U t w I G k x l
1.63307,U o t m i l
2.75148,U t w E l v
1.37677,U t @ b I T x
0.101381,U m ^ G k i
4.08761,U I n C w R m
0.0949551,U m E l x n
3.06751,U C i r i o z
0.825006,U b r I t n i
0.980722,U b a r n i
0.05571,U s I s t R
1.17007,U @ l I k s
1.87125,U s R v I s
5.79298,U h E n r i
0.228101,U s k r ^ b i
3.05644,U f @ t b O
1.76409,U m @ g i
0.513188,U m I k i m W s
0.625336,U d y x
4.72711,U d Y i S x
4.34759,L 1
1.18653,N 0
1.03615,C 1
0.0943531,CP C
0.768564,P h
0.17836,CS C
-1.59417,S h
-1.59239,SC _ h
0.177416,CSC _C
1.30231,L 2
1.57307,V 1
1.10028,CP CV
-0.65016,P h i
0.000131834,CS V
1.02913,S i
-0.588141,S i h
1.06121,SC _ i
-5.7605e-06,CSC _V
-0.666616,SC _ i h
-0.000104709,CSC _VC
2.48766,C 0
-0.585625,CP V
-1.20919,P i
0.000970317,L 3
0.15732,C 2
0.387666,CS CV
-0.000647434,S r
0.441006,S r i
-0.000647434,SC _ r
0.441682,SC _ r i
0.395309,CSC _CV
0.510119,CSC _CVC
0.414682,P i r
-0.618718,P r
0.0202083,L 4
-0.543886,C 3
-0.546902,CS CC
-1.20391,S D
-1.20015,SC _ D
-0.545023,CSC _CC
0.534501,CSC _CCVC
-1.4022,CP CC
-0.391259,P D
0.0439147,L 5
-0.0185443,V 2
-0.834759,S ^
0.247385,S ^ D
-0.835332,SC _ ^
0.386586,SC _ ^ D
-0.769557,CSC _VCC
0.345574,CSC _VCCV
0.000187952,CSC _VCCVC
0.319959,CP CCV
-1.34653,P D ^
-0.0684264,P ^
-1.48453,C 4
0.273096,S k
0.589986,S k ^
-0.0410019,S k ^ D
0.20756,SC _ k
0.327553,SC _ k ^
-0.0410019,SC _ k ^ D
-1.13292,CSC _CVCC
-0.138158,CSC _CVCCV
0.399017,P k
-0.0387262,L 7
-1.09395,V 3
-1.54639,S I
-1.54845,SC _ I
0.113889,CSC _VCV
0.523648,CSC _VCVC
-0.17182,CSC _VCVCC
-1.06712,CSC _VCVCCV
0.619904,P k I
0.00158608,P I
-1.01616,L 8
-1.81816,C 5
0.531479,S t
-0.393546,S t I
0.511749,SC _ t
-0.350438,SC _ t I
-0.629088,CSC _CVCV
-0.0861307,CSC _CVCVCC
0.204405,P I t
-0.200811,P t
-3.12392,L 9
-0.561685,V 4
0.302573,S i t
0.484983,SC _ i t
-0.310973,CSC _VCVCV
0.476973,CSC _VCVCVC
-0.0946605,P t i
-5.09783,L 10
0.221211,N 1
-0.00150706,CS N
0.952059,CS NV
-0.00278686,S m
-0.00278686,SC _ m
-0.00150706,CSC _N
0.954147,CSC _NV
-0.421724,CSC _NVCV
-0.356028,CSC _NVCVC
-0.281093,CP N
0.613684,P m
0.466836,V 5
-0.762432,S c
-0.753807,SC _ c
0.217581,CSC _VNV
0.424757,CSC _VNVC
-0.46703,CSC _VNVCV
1.36752,CP NV
-0.0201035,CSC _CVN
