weight,feature
-0.49032,sigmoid( Pstop )
3.03227,U h i
7.77167,U h i r
7.49748,U D ^
2.07247,U ^
7.95021,U I t
4.37638,U D ^ k I t i
5.86174,U k I t i
2.60861,U c
4.35068,U c r
5.58418,U m c r g i
2.61376,U m i
7.11876,U w ^ n
7.23579,U w ^ n t
1.49783,U W
4.29851,U W t
2.95632,U o
11.2826,U o k e
0.268096,U e
5.59835,U I z
7.86489,U w ^ t
7.15834,U w ^ t s
8.68247,U g ^ n x
6.29742,U d u
0.140326,U u
5.27155,U o n o
6.10773,U n o
6.22615,U n o n o
5.27687,U i t
5.48327,U i t I G
1.88723,U d c g
3.954,U w ^ z
10.6564,U D @ t
9.59029,U y u
3.06085,U s I t
8.33358,U J ^ s t
6.42092,U f c r
0.787264,U Y
4.91925,U e m Y n u t
3.81046,U o k i d o k i
3.84476,U y R
6.33776,U ^ o
6.3349,U d I d
4.43421,U s I t d W n
5.76119,U d W n
1.71543,U a
3.56766,U a n
8.21028,U w a n x
9.40396,U D @ t s
3.15003,U s o
3.6174,U D E n
5.47238,U k ^ m
2.97808,U ^ m
6.53334,U k ^ m h i r
8.36322,U g E t
3.36645,U m a m
7.64839,U m a m i
6.58857,U k ^ m a n
5.86361,U g o
6.35831,U I z D @ t
0.636466,U s E d
1.81304,U S
6.57657,U p U t
4.97922,U ^ p
9.37779,U y u r
4.06946,U g U d
2.91151,U g U d g R l
4.04613,U l E t
8.23074,U l E t s
2.34922,U w c k
3.81772,U D e
7.46878,U D e r
4.4647,U D e r y u g o
2.07874,U b I g
5.3308,U a r
8.56165,U l I t x l
0.998296,U b u
1.16238,U b u m
8.03339,U W ^ t C x
7.19463,U d u I G
1.90209,U h R t
9.19463,U a r y u
6.54097,U l U k
6.04007,U l U k @ t
3.43716,U s t @ n d
11.3092,U @ n d
1.5354,U s t @ n d I G
5.48039,U s e
0.480988,U s e I G
1.62318,U t c k
2.15459,U t c k I G
7.65065,U x b W t
2.53171,U c l
1.22116,U h E v i
0.587234,U l I t x l g R l
5.81388,U n W
4.91714,U w i
4.69579,U w i r
6.06788,U w i r g ^ n x
6.508,U h @ v
6.91927,U h @ v t u
6.7939,U t u
4.99762,U t e k
8.24562,U D I s
4.62755,U s t ^ f
1.75799,U d W n s t e r z
4.99455,U d u y u s i
4.42128,U s i
5.45742,U s e h Y
2.93931,U h Y
8.09792,U y U r
3.17637,U b e b
6.53298,U b e b i
1.02585,U b i
4.20588,U I n
1.43554,U I n D ^ m I r R
1.75358,U w e
6.0188,U w e r
5.79493,U w e r z
5.4508,U D e r z
7.37567,U x g E n
3.45618,U E v r i w e r
3.38021,U b E t R
2.52284,U w o
5.32816,U m a m i z
9.15116,U k @ n
6.9258,U k @ n t
2.3792,U Y m
0.955018,U Y m s a r i
0.180164,U s a r i
6.24599,U p l e
6.72478,U p l e w I D
5.49318,U w I D
2.38531,U m c r g i z
4.26567,U b a t x l
2.34918,U l ^ v
4.7134,U w c t R
5.56551,U g a t
7.71669,U g a t x
3.93331,U d r I G k
2.17948,U l a t s ^ v
4.90476,U t x d e
5.49529,U s ^ m
2.48336,U s ^ m J u s
2.30702,U J u s
1.65953e-05,U t O
4.27869,U p r I t i
3.01967,U t e s t
1.26438,U t e s t i
6.51679,U l Y k
6.06258,U e l I t x l
2.06399,U s R k x l
3.76111,U h ^
6.18771,U d @ d @
6.56972,U n a t
4.08378,U w E n
4.90568,U b @ k
3.20796,U w I l
1.93261,U f o r
3.52057,U r E d
1.72258,U s I G
0.0284655,U y E l o s R k x l
9.79093,U I t s
2.95279,U m I s t R
0.395276,U g o z
7.44342,U Y d o n t
8.06279,U d o n t
5.83553,U b x k c z
3.79335,U c l m o s t
3.44175,U v E r i g U d
4.72548,U w E l
