weight,feature
-0.507035,sigmoid( Pstop )
3.04786,U h i
7.93017,U h i r
7.83289,U D ^
2.07825,U ^
8.0416,U I t
4.33343,U D ^ k I t i
5.84447,U k I t i
2.70286,U c
4.27217,U c r
5.58834,U m c r g i
2.75544,U m i
7.02434,U w ^ n
7.36206,U w ^ n t
1.53748,U W
4.31062,U W t
2.89326,U o
11.1346,U o k e
0.276796,U e
5.61335,U I z
8.081,U w ^ t
7.29481,U w ^ t s
8.83315,U g ^ n x
6.37641,U d u
0.115245,U u
5.00806,U o n o
6.0825,U n o
6.10058,U n o n o
6.13083,U i t
5.10623,U I G
0.801344,U d c g
3.95199,U w ^ z
10.6788,U D @ t
9.83574,U y u
3.39259,U s I t
8.35302,U J ^ s t
6.39884,U f c r
0.877198,U Y
4.7475,U e m Y n u t
1.9342,U o k i d o k i
4.13722,U y R
6.33671,U ^ o
6.41981,U d I d
4.56652,U s I t d W n
5.84863,U d W n
1.84339,U a
3.51749,U a n
8.2982,U w a n x
9.33304,U D @ t s
3.16654,U s o
3.71129,U D E n
5.99175,U k ^ m
2.91096,U ^ m
6.83903,U k ^ m h i r
8.59529,U g E t
3.41491,U m a m
7.63448,U m a m i
6.92491,U k ^ m a n
6.52206,U g o
6.44543,U I z D @ t
0.754818,U s E d
1.6462,U S
6.63564,U p U t
5.02152,U ^ p
9.64989,U y u r
4.15741,U g U d
2.88802,U g U d g R l
4.16744,U l E t
8.30292,U l E t s
2.6128,U w c k
4.10931,U D e
8.38718,U D e r
2.15032,U b I g
5.45105,U a r
8.49632,U l I t x l
1.08447,U b u
0.751631,U b u m
8.15635,U W ^ t C x
7.44532,U d u I G
1.876,U h R t
9.60965,U a r y u
6.70259,U l U k
6.09903,U l U k @ t
4.22025,U s t @ n d
11.3738,U @ n d
1.61623,U s t @ n d I G
5.73199,U s e
1.82719,U t c k
2.75247,U t c k I G
7.8156,U x b W t
2.49287,U c l
1.17255,U h E v i
0.465549,U l I t x l g R l
6.04087,U n W
5.1072,U w i
4.91493,U w i r
6.11074,U w i r g ^ n x
6.79451,U h @ v
5.40626,U h @ v t u
6.8424,U t u
5.17052,U t e k
8.34071,U D I s
4.64815,U s t ^ f
2.69848,U d W n s t e r z
4.71642,U d u y u s i
4.52326,U s i
5.66565,U s e h Y
3.09816,U h Y
8.1932,U y U r
3.26766,U b e b
6.63048,U b e b i
1.32527,U b i
4.41085,U I n
1.77781,U I n D ^ m I r R
1.83949,U w e
6.20087,U w e r
5.911,U w e r z
5.65285,U D e r z
8.79434,U x g E n
3.53233,U E v r i w e r
3.40282,U b E t R
2.76507,U w o
5.25377,U m a m i z
9.22563,U k @ n
7.00488,U k @ n t
2.25252,U Y m
1.41093,U Y m s a r i
0.199381,U s a r i
6.30543,U p l e
6.67947,U p l e w I D
5.46755,U w I D
2.20932,U m c r g i z
4.17675,U b a t x l
2.46391,U l ^ v
4.80571,U w c t R
5.71654,U g a t
8.09843,U g a t x
4.02247,U d r I G k
2.18474,U l a t s ^ v
4.76389,U t x d e
5.57184,U s ^ m
2.5122,U s ^ m J u s
2.42177,U J u s
4.21396,U p r I t i
3.09527,U t e s t
1.4096,U t e s t i
6.57331,U l Y k
5.98354,U e l I t x l
2.22353,U s R k x l
3.80092,U h ^
5.8759,U d @ d @
6.39317,U n a t
4.05529,U w E n
5.22349,U b @ k
3.44671,U w I l
2.06295,U f o r
3.94155,U r E d
2.20835,U s I G
0.0557758,U y E l o s R k x l
9.91293,U I t s
2.80605,U m I s t R
0.516741,U g o z
7.57699,U Y d o n t
8.13884,U d o n t
5.75334,U b x k c z
3.97847,U c l m o s t
3.44556,U v E r i g U d
4.78357,U w E l
1.37331,U c f
4.74657,U D E m
3.4262,U w Y
7.71914,U o p x n
4.68956,U Y m n a t
2.91686,U p ^ t I G
3.58864,U T I G
1.36992,U f Y v
3.53113,U T r i
0.351533,U b ^ m p
0.568843,U h E d
3.8567,U D ^ ^ D R
1.04559,U ^ p s Y d d W n
4.01366,U w o n t
1.96375,U E n i
6.27635,U W t ^ v
5.97095,U Y m g ^ n x
0.759209,U Y l
2.38716,U T R s t i
4.22088,U h o l d
0.824542,U p I g l I t
0.181801,U O G k O G k O G k
1.14142,U l U k I G @ t
6.94983,U g o I G
